Script addresses

000: 00000000
001: 08701694
002: 08701738
003: 0870178C
004: 087017DC
005: 08701804
006: 08702068
007: 087026BC
008: 08702A58
009: 08702CD0
00A: 08702D74
00B: 08702DDC
00C: 08702E50
00D: 08702EA8
00E: 08703138
00F: 08703160
010: 08703188
011: 087044E4
012: 0870487C
013: 0870496C
014: 08704A64
015: 08705898
016: 08705BB4
017: 08705CB8
018: 08705DAC
019: 0870655C
01A: 08706660
01B: 08706764
01C: 08706850
01D: 08707008
01E: 087072E4
01F: 08707944
020: 08707ECC
021: 08708CA4
022: 0870993C
023: 08709D68
024: 0870A6B8
025: 0870AE68
026: 0870AF4C
027: 0870B178
028: 0870B7A0
029: 0870BD1C
02A: 0870D08C
02B: 0870DF6C
02C: 0870EAF4
02D: 0870F9C0
02E: 0870FAF8
02F: 0870FD28
030: 08710344
031: 087108D4
032: 08711B3C
033: 08711CB8
034: 08711D70
035: 08712C3C
036: 08712F00
037: 0871368C
038: 087141D4
039: 087142B4
03A: 087144D0
03B: 08714B20
03C: 08714F74
03D: 0871695C
03E: 08716C2C
03F: 08716D5C
040: 08718684
041: 087187FC
042: 08718898
043: 08719298
044: 08719358
045: 087193EC
046: 08719D84
047: 08719E8C
048: 08719F88
049: 0871A1B0
04A: 0871A7C0
04B: 0871ABBC
04C: 0871B914
04D: 0871C2B8
04E: 0871C360
04F: 0871C438
050: 0871C504
051: 0871D200
052: 0871D2CC
053: 0871D38C
054: 0871D9FC
055: 0871DAB0
056: 0871E940
057: 0871EA44
058: 0871EB00
059: 0871EB28
05A: 0871EB50
05B: 0871EB78
05C: 0871EBA0
05D: 0871EBC8
05E: 0871ED4C
05F: 0871EE08
060: 0871EF58
061: 0871EFAC
062: 0871F024
063: 0871F0D0
064: 0871F218
065: 0871F2D0
066: 0872058C
067: 087205D0
068: 08720614
069: 08720658
06A: 087206F0
06B: 08720888
06C: 087208D0
06D: 08720914
06E: 0872095C
06F: 08720A9C
070: 08720AE0
071: 08720DAC
072: 08721774
073: 0872256C
074: 08722A9C
075: 08723368
076: 087233AC
077: 087233D8
078: 08723448
079: 087234B8
07A: 08723528
07B: 08723598
07C: 08723608
07D: 0872364C
07E: 08723694
07F: 087236E0
080: 08723730
081: 08723774
082: 087237BC
083: 08723800
084: 08723FDC
085: 08724550
086: 0872457C
087: 087245C0
088: 08724608
089: 08724634
08A: 08724684
08B: 087246C8
08C: 08724718
08D: 08724760
08E: 08724790
08F: 08724800
090: 08724848
091: 08724AB4
092: 08724B00
093: 08724B2C
094: 08726CF8
095: 08726D3C
096: 08726D6C
097: 08726DDC
098: 0872709C
099: 087270E0
09A: 08727124
09B: 08727168
09C: 08727198
09D: 087271C8
09E: 087271F4
09F: 0872728C
0A0: 087272B8
0A1: 087272E4
0A2: 087273D8
0A3: 08727470
0A4: 08727608
0A5: 08727760
0A6: 08727C08
0A7: 08728168
0A8: 087281BC
0A9: 08728204
0AA: 08728280
0AB: 087282CC
0AC: 08728318
0AD: 0872839C
0AE: 0872841C
0AF: 087284C0
0B0: 08728674
0B1: 0872874C
0B2: 0872A150
0B3: 0872A234
0B4: 0872A314
0B5: 0872A3F0
0B6: 0872A724
0B7: 0872A860
0B8: 0872A8A4
0B9: 0872A8F8
0BA: 0872AA60
0BB: 0872AAD0
0BC: 0872AB40
0BD: 0872B048
0BE: 0872B078
0BF: 0872B0A8
0C0: 0872B0D4
0C1: 0872B100
0C2: 0872B144
0C3: 0872B170
0C4: 0872B19C
0C5: 0872B1CC
0C6: 0872B35C
0C7: 0872B3A0
0C8: 0872B3D0
0C9: 0872B400
0CA: 0872B42C
0CB: 0872B45C
0CC: 0872B4A8
0CD: 0872B4D4
0CE: 0872B504
0CF: 0872B550
0D0: 0872B57C
0D1: 0872B5A8
0D2: 0872B5D8
0D3: 0872B684
0D4: 0872D9E4
0D5: 0872DA28
0D6: 0872DA58
0D7: 0872DBE8
0D8: 0872DD20
0D9: 0872DD6C
0DA: 0872DDB0
0DB: 0872DE68
0DC: 0872DF20
0DD: 0872DFD8
0DE: 0872E090
0DF: 0872E148
0E0: 0872E200
0E1: 0872E2B8
0E2: 0872E370
0E3: 0872E47C
0E4: 0872E6FC
0E5: 0872E928
0E6: 0872EAEC
0E7: 0872EB70
0E8: 0872EBEC
0E9: 0872EE0C
0EA: 0872EFB8
0EB: 0872F388
0EC: 0872F3C4
0ED: 0872F3F4
0EE: 0872F5C4
0EF: 0872F934
0F0: 0872F964
0F1: 0872F994
0F2: 0872F9C4
0F3: 0872F9F0
0F4: 0872FA20
0F5: 0872FA50
0F6: 0872FA80
0F7: 0872FD94
0F8: 08730034
0F9: 08730284
0FA: 08730374
0FB: 087303A4
0FC: 087303D4
0FD: 08730418
0FE: 08730448
0FF: 08730478
100: 087304A8
101: 087304D8
102: 08730508
103: 08730538
104: 087305A8
105: 087305D8
106: 08730604
107: 08730654
108: 08730684
109: 087306B0
10A: 087306E0
10B: 08730710
10C: 08730820
10D: 08730930
10E: 0873095C
10F: 087309A8
110: 087309F8
111: 08730A24
112: 08730A54
113: 08730A84
114: 08730AB4
115: 08730AE4
116: 08730B90
117: 08730BC0
118: 08730BF0
119: 08730FF0
11A: 08731460
11B: 087315AC
11C: 087315E4
11D: 0873161C
11E: 0873164C
11F: 08731678
120: 087316A8
121: 087316D8
122: 08731708
123: 08731734
124: 08731764
125: 08731794
126: 087318A4
127: 08732C08
128: 08732C34
129: 08732C60
12A: 08732C90
12B: 08732CBC
12C: 08732CE8
12D: 08732D18
12E: 08733038
12F: 087330FC
130: 0873312C
131: 0873315C
132: 0873318C
133: 087331BC
134: 087331EC
135: 0873321C
136: 087332C0
137: 087332EC
138: 08733334
139: 08733364
13A: 087333A8
13B: 0873350C
13C: 08733638
13D: 087336A8
13E: 08737CA8
13F: 08737CE8
140: 08737D28
141: 08737D68
142: 08737DA8
143: 08737DE8
144: 08737E28
145: 08737E68
146: 08739540
147: 087398F0
148: 08739DD8
149: 08739E18
14A: 08739EA0
14B: 08739F28
14C: 0873A118
14D: 0873A148
14E: 0873A174
14F: 0873A1A0
150: 0873A1D0
151: 0873A200
152: 0873A230
153: 0873A2AC
154: 0873A2DC
155: 0873A30C
156: 0873A338
157: 0873A37C
158: 0873A3A8
159: 0873A564
15A: 0873A590
15B: 0873A5C0
15C: 0873A63C
15D: 0873A688
15E: 0873A6D8
15F: 0873B2B4
160: 0873BD04
161: 0873D62C
162: 0873D764
163: 0873D7A0
164: 0873D7CC
165: 0873D7FC
166: 0873D838
167: 0873DF2C
168: 08742638
169: 08743480
16A: 087434CC
16B: 08743518
16C: 087438CC
16D: 087438FC
16E: 08745508
16F: 0874559C
170: 08748D68
171: 08748F44
172: 0874903C
173: 087490AC
174: 08749270
175: 087492A0
176: 087492CC
177: 08749314
178: 0874935C
179: 087493A8
17A: 08749524
17B: 08749568
17C: 0874A114
17D: 0874AEFC
17E: 0874BAE8
17F: 0874CBF4
180: 0874DD28
181: 0874E61C
182: 0874EDD8
183: 0874F274
184: 0874FB54
185: 08750470
186: 087506F8
187: 08750764
188: 08750794
189: 087507C0
18A: 087507EC
18B: 0875081C
18C: 08750848
18D: 08750874
18E: 087508A4
18F: 0875095C
190: 08750AD8
191: 08750B04
192: 08750B34
193: 08750B64
194: 08750B90
195: 08750C3C
196: 08750C6C
197: 08750C9C
198: 08750CCC
199: 08750D3C
19A: 08750DB0
19B: 08750E20
19C: 08750E6C
19D: 08751B64
19E: 08752940
19F: 08752A78
1A0: 08752F20
1A1: 08752F70
1A2: 08752FC4
1A3: 08755810
1A4: 08756480
1A5: 087570F0
1A6: 08757120
1A7: 08757168
1A8: 08757198
1A9: 08757250
1AA: 08757378
1AB: 087573A4
1AC: 087573F0
1AD: 0875743C
1AE: 08757484
1AF: 087574B4
1B0: 08757520
1B1: 08757BBC
1B2: 0875AC2C
1B3: 0875AE34
1B4: 0875AE70
1B5: 0875AEA0
1B6: 0875AEDC
1B7: 0875AF0C
1B8: 0875B1C8
1B9: 0875B1F8
1BA: 0875B224
1BB: 0875B250
1BC: 0875B294
1BD: 0875B2C4
1BE: 0875B2F4
1BF: 0875B320
1C0: 0875B34C
1C1: 0875B37C
1C2: 0875B4B8
1C3: 0875B670
1C4: 0875B728
1C5: 0875B7E0
1C6: 0875B898
1C7: 0875B950
1C8: 0875BA08
1C9: 0875BAC0
1CA: 0875BB78
1CB: 0875BC30
1CC: 0875BCE8
1CD: 0875BDA0
1CE: 0875BE58
1CF: 0875BF10
1D0: 0875BFC8
1D1: 0875C080
1D2: 0875C138
1D3: 0875C1F0
1D4: 0875C2E8
1D5: 0875C3D4
1D6: 0875C4C0
1D7: 0875C544
1D8: 0875C5BC
1D9: 0875C774
1DA: 0875C82C
1DB: 0875EBE4
1DC: 08761050
1DD: 08763868
1DE: 08765B94
1DF: 0876808C
1E0: 0876A6A8
1E1: 0876CAD4
1E2: 0876EF04
1E3: 08771338
1E4: 08773770
1E5: 08775B9C
1E6: 08777FC8
1E7: 0877A444
1E8: 0877C874
1E9: 0877EEC8
1EA: 087811F4
1EB: 08783520
1EC: 08785920
1ED: 08788F80
1EE: 0878B43C
1EF: 0878D868
1F0: 0878FEB0
1F1: 08792F80
1F2: 08795400
1F3: 0879781C
1F4: 08797890
1F5: 08797910
1F6: 08797D1C
1F7: 08797E28
1F8: 08797EA0
1F9: 08797EE8
1FA: 08797F60
1FB: 08797FF4
1FC: 08798088
1FD: 08798100
1FE: 08798180
1FF: 087981E4
200: 087982E0
201: 08798370
202: 087983E0
203: 08798464
204: 087984D8
205: 08798554
206: 087985D0
207: 08798658
208: 087986D0
209: 08798714
20A: 08798744
20B: 0879882C
20C: 0879887C
20D: 087988C0
20E: 08798904
20F: 08798948
210: 0879898C
211: 08798ED0
212: 08798F14
213: 08798F8C
214: 08798FBC
215: 0879A594
216: 0879A604
217: 0879A898
218: 0879AB78
219: 0879B734
21A: 0879C1C8
21B: 0879C2D4
21C: 0879C770
21D: 0879C9E8
21E: 0879CC50
21F: 0879CE70
220: 0879CEAC
221: 0879CED8
222: 0879CF08
223: 0879CF44
224: 0879CF88
225: 0879CFB8
226: 0879E34C
227: 0879E51C
228: 0879E54C
229: 0879E578
22A: 0879E5BC
22B: 0879E5E8
22C: 0879E618
22D: 0879E644
22E: 0879E674
22F: 0879E6A4
230: 0879E8FC
231: 0879E928
232: 0879E954
233: 0879E984
234: 0879E9B0
235: 0879E9DC
236: 0879EA08
237: 0879EA4C
238: 0879EA7C
239: 0879EAF8
23A: 0879EBEC
23B: 0879EE3C
23C: 0879EE68
23D: 0879EE98
23E: 0879EEC8
23F: 0879EEF4
240: 0879EF24
241: 0879EF54
242: 0879EFC4
243: 0879EFF4
244: 0879F01C
245: 087A5600
246: 087A5DC8
247: 087A5FF4
248: 087A620C
249: 087A642C
24A: 087A6638
24B: 087A6840
24C: 087A6A54
24D: 087A6C6C
24E: 087A6E80
24F: 087A7094
250: 087A72A8
251: 087A74C0
252: 087A76D4
253: 087A78F4
254: 087A7B08
255: 087A7D1C
256: 087A7F10
257: 087A868C
258: 087A8724
259: 087A88B8
25A: 087A8B64
25B: 087A92F4
25C: 087A9324
25D: 087A94B0
25E: 087A9774
25F: 087A9F7C
260: 087A9FAC
261: 087AA13C
262: 087AA3CC
263: 087AABD0
264: 087AAD5C
265: 087AAD8C
266: 087AB054
267: 087AB804
268: 087AB834
269: 087AB9C4
26A: 087ABC64
26B: 087ABD98
26C: 087ABE0C
26D: 087AC33C
26E: 087AC46C
26F: 087AC49C
270: 087ACA20
271: 087ACB50
272: 087ACB80
273: 087AD124
274: 087AD258
275: 087AD8A4
276: 087AD8D4
277: 087ADA04
278: 087ADA34
279: 087AE024
27A: 087AE1CC
27B: 087AE264
27C: 087AE940
27D: 087AEAE8
27E: 087AEB18
27F: 087AF220
280: 087AF3C8
281: 087AF3F8
282: 087AFBE0
283: 087AFD88
284: 087B0574
285: 087B05A4
286: 087B074C
287: 087B077C
288: 087B0EF8
289: 087B10A0
