Misc script stats,CODE chunk size,presence of backward jump,presence of switch instruction
005,size=48C,loop=True,switch=True
010,size=1054,loop=False,switch=True
014,size=B80,loop=False,switch=True
018,size=428,loop=False,switch=True
01C,size=57C,loop=False,switch=True
01F,size=2C4,loop=False,switch=True
020,size=B10,loop=False,switch=True
021,size=988,loop=False,switch=True
023,size=664,loop=False,switch=True
024,size=4BC,loop=False,switch=True
028,size=2C4,loop=False,switch=True
029,size=ECC,loop=False,switch=True
02A,size=BC4,loop=False,switch=True
02B,size=644,loop=False,switch=True
02C,size=92C,loop=False,switch=True
030,size=2C0,loop=False,switch=True
031,size=E6C,loop=False,switch=True
034,size=BB0,loop=False,switch=True
036,size=3BC,loop=False,switch=True
037,size=60C,loop=False,switch=True
03B,size=274,loop=False,switch=True
03C,size=1318,loop=False,switch=True
03F,size=14AC,loop=False,switch=True
042,size=45C,loop=False,switch=True
045,size=534,loop=False,switch=True
04A,size=264,loop=False,switch=True
04B,size=92C,loop=False,switch=True
04C,size=620,loop=False,switch=True
050,size=794,loop=False,switch=True
053,size=35C,loop=False,switch=True
055,size=8FC,loop=False,switch=True
063,size=EC,loop=False,switch=True
065,size=1278,loop=False,switch=True
070,size=1CC,loop=False,switch=True
072,size=CE4,loop=False,switch=True
093,size=C4C,loop=True,switch=True
0A5,size=3DC,loop=False,switch=True
0A6,size=448,loop=True,switch=False
0B1,size=1978,loop=False,switch=True
0B6,size=D8,loop=False,switch=True
0E3,size=154,loop=False,switch=True
0E4,size=108,loop=False,switch=True
0E5,size=DC,loop=False,switch=True
0E8,size=174,loop=False,switch=True
0EA,size=258,loop=False,switch=True
126,size=A7C,loop=False,switch=True
13D,size=2E50,loop=True,switch=True
145,size=1278,loop=True,switch=True
146,size=254,loop=True,switch=True
147,size=364,loop=False,switch=True
15E,size=A3C,loop=False,switch=True
15F,size=914,loop=False,switch=True
160,size=BF0,loop=False,switch=True
161,size=A4,loop=False,switch=True
166,size=624,loop=False,switch=True
167,size=37A8,loop=True,switch=True
168,size=860,loop=True,switch=True
16B,size=264,loop=False,switch=True
16D,size=F50,loop=True,switch=True
16F,size=362C,loop=False,switch=True
170,size=124,loop=False,switch=True
184,size=8B8,loop=False,switch=True
19C,size=154,loop=False,switch=True
